영상ID,제목,조회수,댓글수,좋아요수,게시일,썸네일,영상설명,바이럴지표
29433-yuaO4,엄마의 편지 속 감동적인 디테일 (동숲),1309494,433,42657,2022-07-06T00:00:00Z,https://i.ytimg.com/vi/29433-yuaO4/hqdefault.jpg,,433426571309494
nuh-XDisDpE,모동숲 고인물이 벌 피하는 법#shorts,1280014,333,34527,2023-05-25T11:21:19Z,https://i.ytimg.com/vi/nuh-XDisDpE/hqdefault.jpg,,333345271280014
wC0lJEaQqww,나만 알기 아까운 모동숲 도구 사용법,1251362,162,32451,2022-04-10T00:00:13Z,https://i.ytimg.com/vi/wC0lJEaQqww/hqdefault.jpg,#shorts #모동숲 #동물의숲 #샐리의모동숲,162324511251362
RLAeqeX1FAo,☃️𝘸𝘪𝘯𝘵𝘦𝘳 𝘷𝘪𝘣𝘦𝘴... 🌨️ 𝘣𝘦𝘴𝘵 𝘢𝘯𝘪𝘮𝘢𝘭 𝘤𝘳𝘰𝘴𝘴𝘪𝘯𝘨 𝘮𝘶𝘴𝘪𝘤 𝘧𝘰𝘳 𝘴𝘭𝘦𝘦𝘱 (𝘴𝘭𝘰𝘸𝘦𝘥 + 𝘳𝘦𝘷𝘦𝘳𝘣 + 𝘴𝘯𝘰𝘸𝘧𝘢𝘭𝘭 𝘴𝘰𝘶𝘯𝘥),1199931,410,37510,2021-10-13T21:06:23Z,https://i.ytimg.com/vi/RLAeqeX1FAo/hqdefault.jpg,Another AC mix! this time with winter/ Christmas vibes 🌨️,410375101199931
SNBaIAvKxU4,"모동숲 업데이트 첫 날, 너굴이한테 또 털렸습니다... | 모동숲 일상 | ACNH",1172792,499,10661,2021-11-05T09:08:40Z,https://i.ytimg.com/vi/SNBaIAvKxU4/hqdefault.jpg,"너굴 인성 스뤠기

#동물의숲 #모동숲 #모여봐요동물의숲 #ACNH

🏝섬 이름 : 아보카도🥑 (Abcado)
👩주민대표 : 아오니 (Aoni)
🌙꿈번지 : DA-2528-5743-8067
🌟‍인스타그램 : aonioni_

----

[타임라인]
00:00 인트로
00:54 주위 둘러보기
03:36 마일 아이템 둘러보기
10:10 조례 지정하기
11:32 자잘한 업데이트들

---

[BGM 출처]
🎵Music provided by 브금대통령 
🎵Track : 귀여운 BGM 모음 2 - https://youtu.be/Gkh-wz-cHyg

[음성 출처]
본 음성은 인공지능 성우 서비스 타입캐스트에서 제작되었습니다.
인공지능 성우 하준, 삐뚤어진 찬구",499106611172792
4_wyvjXQd-s,40시간 동안 모든 방을 호텔로 꾸미기 | 모동숲,1161123,547,0,2022-08-12T10:15:00Z,https://i.ytimg.com/vi/4_wyvjXQd-s/hqdefault.jpg,"어서오십시오 손님.

#동물의숲 #모동숲 #ACNH

🏝섬 이름 : 아보카도🥑 / 마라도
👩주민대표 : 아오니
🌙꿈번지 : DA-2528-5743-8067 / (생성 예정)
🌙해피홈 : RA-1157-2190-7226
🌟‍인스타그램 : aonioni_

---

[타임라인]
00:00 둘러보기
00:55 준비 과정
06:41 꾸미기
13:19 완성

---

[BGM 출처]
🎵Music provided by 브금대통령
🎵Track : 와 이거 뭔데 - https://youtu.be/7zswBFefpLU
🎵Track : 오리가족의 외출 - https://youtu.be/g84nkO4afvM
🎵Track : 이게 머선129 - https://youtu.be/gOtwGaQUbzM
🎵Track : 나는야 장난꾸러기 - https://youtu.be/MYLjqNApdTE

🎵피아노 메들리 - https://www.youtube.com/watch?v=_D4swmqd5vc",54701161123
rp1einzETYA,"모동숲 역사상, 이런 상금은 없었습니다.",1154155,507,10919,2022-08-22T10:15:02Z,https://i.ytimg.com/vi/rp1einzETYA/hqdefault.jpg,"단, 1등 만을 위한 게임

#동물의숲 #모동숲 #모여봐요동물의숲

🏝섬 이름 : 아보카도🥑 / 마라도
👩주민대표 : 아오니
🌙꿈번지 : DA-2528-5743-8067 / (생성 예정)
🌙해피홈 : RA-1157-2190-7226
🌟‍인스타그램 : aonioni_

---

[타임라인]
00:00 게임 준비
04:37 게임 시작
10:57 결승전&상금 지급

---

[BGM 출처]
🎵Music provided by 브금대통령
🎵Track : 나는야 장난꾸러기 - https://youtu.be/MYLjqNApdTE
🎵Track : 와 이거 뭔데 - https://youtu.be/7zswBFefpLU
🎵Track : 귀여운 BGM 모음 2 - https://youtu.be/Gkh-wz-cHyg
🎵Track : 에어컨 아래에서 - https://youtu.be/f8nd8Fq90lU
🎵Track : 서리는 졸려요 - https://youtu.be/qQFY87FfZGU
🎵Track : 오리가족의 외출 - https://youtu.be/g84nkO4afvM
🎵Track : 아기 고양이 - https://youtu.be/1rL7sardFIU
🎵Track : 무궁화 꽃이 피었습니다 - https://youtu.be/Y8jh4gBETos",507109191154155
DIroGR71D1A,모동숲 넘어졌을때 주민 반응은? #shorts,2501701,193,46868,2022-06-28T14:47:18Z,https://i.ytimg.com/vi/DIroGR71D1A/hqdefault.jpg,"#동물의숲 #버튜버 #냐무야호

♥냐무야호 트위치 https://www.twitch.tv/nyamuyaho
♥냐무야호 유튜브 https://www.youtube.com/channel/UCjfdNCpR68Bx82OvrxtaUrQ
♥후원 : https://twip.kr/nyamuyaho
♥메일 : nyamuyaho@gmail.com
♥디스코드 : https://discord.com/invite/fnEQvhjMyE

모동숲, 별의커비, 링피트, 스팀게임 등! 종겜 스트리머 냐무야호입니다!",193468682501701
F3Fuif1pYt8,새로운 주민을 영입해보겠습니다,1821464,1723,22425,2020-05-09T07:00:03Z,https://i.ytimg.com/vi/F3Fuif1pYt8/hqdefault.jpg,"웰컴투 식섬 실바나

안녕하세요 선바입니다. 영상 시청해주셔서 감사합니다~!
좋아요와 구독하기 잊지마세요~!
트위치: https://twitch.tv/sunbaking
인스타그램: @sunbaakim
선바팬카페:http://cafe.naver.com/sunbaakim",1723224251821464
tLtyzVeXZ2A,혜안 동물의숲 섬에 새로운 주민이 이사 왔습니다!,1641546,1524,17128,2022-11-04T03:00:20Z,https://i.ytimg.com/vi/tLtyzVeXZ2A/hqdefault.jpg,"어서와요 듬성듬섬
[업로드] 금,토,일,월 
[문의메일] zxcv34276@gmail.com
[인스타그램] @hxxax_
#혜안 #동물의숲",1524171281641546
9cV8kr7rpnA,모동숲에 과몰입 하게 되는 이유,1123725,236,36645,2022-04-30T00:00:04Z,https://i.ytimg.com/vi/9cV8kr7rpnA/hqdefault.jpg,,236366451123725
AgLiI78pd6Q,모동숲 인기주민 랭킹 해외판,1104584,522,27852,2023-09-08T06:00:07Z,https://i.ytimg.com/vi/AgLiI78pd6Q/hqdefault.jpg,"#Shorts #모동숲 #동물의숲 
-
♥로나딩 유튜브 멤버십https://www.youtube.com/channel/UCg7ZESiNqxYUeJilJR4_Y1w/join
- 구독뱃지&구독티콘 사용, 생방송 다시보기 시청 가능!
♥로나딩 트위치 생방송 https://www.twitch.tv/s_s_you
♥로나딩 후원 https://toon.at/donate/637204765074825066
♥로나딩 팬심 https://fancim.me/celeb/profile.aspx?cu_id=melona
♥로나딩 이메일 tvmelona@gmail.com

♥편집딩 : 로나딩",522278521104584
4D7ur9z75Vo,동물의 숲 주민 이상형 월드컵,1081355,1820,11645,2020-05-03T07:00:01Z,https://i.ytimg.com/vi/4D7ur9z75Vo/hqdefault.jpg,"식섭아...나를 안뽑은건...유감이지만...어쩔 수 없지....

안녕하세요 선바입니다. 영상 시청해주셔서 감사합니다~!
좋아요와 구독하기 잊지마세요~!
트위치: https://twitch.tv/sunbaking
인스타그램: @sunbaakim
선바팬카페:http://cafe.naver.com/sunbaakim",1820116451081355
2ZZjRrUQrhw,싫어하는 모동숲 주민 무조건 이사보내는 방법 #Shorts,1080516,68,17640,2022-10-31T09:00:04Z,https://i.ytimg.com/vi/2ZZjRrUQrhw/hqdefault.jpg,"#모동숲 #동물의숲 #모여봐요동물의숲


◆ 비즈니스 문의 : ad@lolq.co.kr
◆ 개인 문의 : kbd2018@naver.com
◆ 트위치 생방송 : https://www.twitch.tv/kimbangduck
◆ 인스타 : gyeonmoung
◆ 팬카페 : https://cafe.naver.com/gyeonnim",68176401080516
xHgjyjV1c8c,동물의 숲 시리즈에 나온 모든 캐릭터의 인기 순위를 알아보자!  【모동숲】,1050287,6370,8630,2020-04-08T16:00:31Z,https://i.ytimg.com/vi/xHgjyjV1c8c/hqdefault.jpg,"모동숲(모여봐요 동물의숲) 유튜버 쏨이 & 땀이 채널 입니다.
あつ森（あつまれどうぶつの森）YouTuber ソミ、ダミのチャンネルでございます。
ACNH(animal crossing new horizons)  YouTuber Ssomi & Ddami Channel.

이 영상은 2020년 4월 8일 PM 8시의 랭킹 기준으로 제작되어서 차후 순위가 조금씩 달라질 수 있는 점 이해 부탁드려여~
- 출처 : 하토님이 제작하신 동물의숲 이상형 월드컵 랭킹 (https://www.piku.co.kr/w/rank/8Zj1E8)

💬 ENG SUB / 日本語字幕（じまく）
📧 Email : ssomddamtv@naver.com
🚫 영상 무단 사용 금지

#あつ森 #acnh #모동숲 #동물의숲  #동숲",637086301050287
NRvGWHDGhoA,[모동숲] 주민들과 단체로 낮잠자기,1048707,1013,12653,2020-06-09T05:59:39Z,https://i.ytimg.com/vi/NRvGWHDGhoA/hqdefault.jpg,"#모동숲 #마이디자인 #김비모 #위장

얘두라 미안해..

아웃로 브금 
https://youtu.be/6_dWNXo-PgI",1013126531048707
8oBrf-yYQ-g,모동숲 인기 주민들이 모여있는 고양이 종족의 비밀,1025024,240,32416,2022-06-15T00:00:01Z,https://i.ytimg.com/vi/8oBrf-yYQ-g/hqdefault.jpg,#모동숲,240324161025024
UHWw9gYKOtU,무조건 마일섬에서 첫 번째로 나오는 친구 데려오기 | 모동숲 일상 | ACNH,1010756,362,8538,2021-09-20T10:11:29Z,https://i.ytimg.com/vi/UHWw9gYKOtU/hqdefault.jpg,"과연..?

#동물의숲 #모동숲 #모여봐요동물의숲 #ACNH

🏝섬 이름 : 아보카도🥑 (Abcado)
👩주민대표 : 아오니 (Aoni)
🌙꿈번지 : DA-2528-5743-8067
🌟‍인스타그램 : aonioni_

---

[타임라인]
00:00 이사 보낼 준비
02:57 내보내기 대작전
04:52 잘가...
07:04 새로운 만남
10:53 K.K.소울

---

[BGM 출처]
🎵Music provided by 브금대통령
🎵Track : 귀여운 BGM 모음 2 - https://youtu.be/Gkh-wz-cHyg
🎵Track : 와 이거 뭔데 - https://youtu.be/7zswBFefpLU",36285381010756
pK_shrlCmZM,'하루 종일 노동만 하시나요?' 모동숲 꾸미기 유튜버의 Q&A,997546,1095,15519,2022-03-18T10:15:02Z,https://i.ytimg.com/vi/pK_shrlCmZM/hqdefault.jpg,"마! 이게 유튜바다!

#동물의숲 #모동숲 #모여봐요동물의숲 #ACNH

🏝섬 이름 : 아보카도🥑 (Abcado)
👩주민대표 : 아오니 (Aoni)
🌙꿈번지 : DA-2528-5743-8067
🌙해피홈 : RA-1157-2190-7226
🌟 인스타그램 : aonioni_

---

[BGM 출처]
🎵Music provided by 브금대통령
🎵Track : 서리는 졸려요 - https://youtu.be/qQFY87FfZGU
🎵Track : 안졸리나 졸리다 - https://youtu.be/NNKNQMeWhm4
🎵Track : 와 이거 뭔데 - https://youtu.be/7zswBFefpLU
🎵Track : 나는야 장난꾸러기 - https://youtu.be/MYLjqNApdTE

Mona Wonderlick - Himalayas
Himalayas by Mona Wonderlick https://soundcloud.com/monawonderlick
Creative Commons — Attribution 3.0 Unported — CC BY 3.0
Free Download / Stream: https://www.toneden.io/mona-wonderlic...
Music promoted by Audio Library https://youtu.be/5VdBy7SD5Bs
𝑴𝒖𝒔𝒊𝒄 𝑷𝒍𝒂𝒚𝒍𝒊𝒔𝒕 :  https://youtu.be/yp0KWgd3ooA

Faithful Mission by Artificial.Music https://soundcloud.com/artificial-music
Creative Commons — Attribution 3.0 Unported — CC BY 3.0
Free Download: http://bit.ly/-faithful-mission
Music promoted by Audio Library https://youtu.be/-738ly_V3RQ
𝑴𝒖𝒔𝒊𝒄 𝑷𝒍𝒂𝒚𝒍𝒊𝒔𝒕 : https://youtu.be/yp0KWgd3ooA

[음성 출처]
본 음성은 인공지능 성우 서비스 타입캐스트에서 제작되었습니다.
인공지능 성우 호빈이 외 10명",109515519997546
lCuIcqKEhrg,모동숲 토용의 무서운 과거,976573,159,28581,2022-05-20T00:00:14Z,https://i.ytimg.com/vi/lCuIcqKEhrg/hqdefault.jpg,#shorts #모동숲 #동물의숲 #모여봐요동물의숲,15928581976573
xnRGxKwQJsY,쭈니를 보내게 됐습니다..,951072,539,10364,2023-02-25T09:00:38Z,https://i.ytimg.com/vi/xnRGxKwQJsY/hqdefault.jpg,"안녕 MY FRIEND

#동물의숲 #모동숲

🏝섬 이름 : 아보카도🥑 / 마라도
👩주민대표 : 아오니
🌙꿈번지 : DA-2528-5743-8067 / DA-6351-3927-7264
🌙해피홈 : RA-1157-2190-7226
🌟‍인스타그램 : aonioni_
🌟‍팬카페 : https://cafe.naver.com/aonioni

[BGM 출처]
🎵Music provided by 브금대통령
🎵Track : 웃기고있네 - https://youtu.be/aY7VLF71pNM
🎵Track : 3월의 불멍 - https://youtu.be/E5Veny7_QkQ
🎵Track : Black Comedy 3 - https://youtu.be/NQkMpz36Tas​
🎵Track : Awake - https://youtu.be/Gqo0xG9y2t0
🎵Track : 펭귄의 비행 - https://youtu.be/ZW_msPN4GJw
🎵Track : 와 이거 뭔데 - https://youtu.be/7zswBFefpLU

Song : ODT SOUND - with my puppy
Follow Artist : https://www.youtube.com/user/jjumini 
Music promoted by DayDreamSound : https://youtu.be/Mk8SP4eixq4",53910364951072
wwqprH9IWj8,털난 토끼 뽑으려 했는데 웬 햄스터가 이사 오겠다네요 ㅇㅂㅇa;; [지컨],934049,345,11466,2022-02-05T10:18:21Z,https://i.ytimg.com/vi/wwqprH9IWj8/hqdefault.jpg,"#모동숲 #모여봐요동물의숲 #동물의숲
🖤풀버전 보러 ㄱrブl 📅 211203
🤍スΙ컨 생방송 ㉰㉦ㅣ 보㉠ㅣhttps://bit.ly/2kyCIWu
🖤팬 ㅋΓ페로 놀ㄹ┥ 와...。http://cafe.daum.net/zkern
🤍멤버십 フト입ㅎΗ丕 https://www.youtube.com/channel/UC0z8bddfRBRBmEC-AjI6UXw/join
🖤しΗ 사생활Ｏ| 궁금㉭ㅐ...? https://www.instagram.com/zkern_official/

🤍편집: 레몬",34511466934049
tI8n8LxhkPY,뽀야미 유배 보내려고 무인도를 만들었어요 ㅋㅋㅋㅋㅋㅋㅋ,932594,472,12436,2023-03-18T10:00:38Z,https://i.ytimg.com/vi/tI8n8LxhkPY/hqdefault.jpg,"5개월만 참아줘^_^

#동물의숲 #모동숲 #acnh 

🏝섬 이름 : 아보카도🥑 / 마라도
👩주민대표 : 아오니
🌙꿈번지 : DA-2528-5743-8067 / DA-6351-3927-7264
🌙해피홈 : RA-1157-2190-7226
🌟‍인스타그램 : aonioni_
🌟‍팬카페 : https://cafe.naver.com/aonioni

[BGM 출처]
🎵Music provided by 브금대통령
🎵Track : 웃기고있네 - https://youtu.be/aY7VLF71pNM
🎵Track : 이게 머선129 - https://youtu.be/gOtwGaQUbzM
🎵Track : 도둑의 계획 - https://youtu.be/CKuI-6-Izhc
🎵Track : 오리가족의 외출 - https://youtu.be/g84nkO4afvM

Song : ODT SOUND - with my puppy
Follow Artist : https://www.youtube.com/user/jjumini 
Music promoted by DayDreamSound : https://youtu.be/Mk8SP4eixq4

Song : NATONI - 발걸음
Follow Artist : https://bit.ly/3FSbLlu
Music promoted by DayDreamSound : https://youtu.be/lz1q-rZD-E8",47212436932594
ti0Ep68vI78,모동숲 원하는주민 모으는 방법 - 초반에 할 수 있는 주민 노가다,932178,1419,10386,2020-05-21T14:18:33Z,https://i.ytimg.com/vi/ti0Ep68vI78/hqdefault.jpg,"모여봐요 동물의 숲 원하는 주민 모으는 방법 에 대해서 다뤄봤습니다.

주민 데려오기 영상 1탄

이번 영상은 초기 주민 3명 이사올 때 하는 주민 노가다
처음 입주 주민 2명 노가다 방법입니다.

주민의 성격 고정 
먹보/운동광/무뚝뚝/느끼함
친절함/아이돌/성숙함/단순활발로 구성되어있습니다.

성격 고정에 대한 정보가 들어가 있습니다.

블로그 : https://s309001.tistory.com/7
제보 및 문의 : s309001@naver.com",141910386932178
yp_3IWrR8NA,저는 섬을 갈아엎기 전에 이 9가지는 꼭 합니다! | 모동숲 섬 꾸미기 | ACNH,926624,252,10495,2021-07-08T10:02:09Z,https://i.ytimg.com/vi/yp_3IWrR8NA/hqdefault.jpg,"아무 계획 없이 싹 다 밀어버리는 실수는 절대 하지 마세요!

#동물의숲 #모동숲 #모여봐요동물의숲 #ACNH #모동숲섬꾸미기

🏝섬 이름 : 아보카도🥑 (Abcado)
👩주민대표 : 아오니 (Aoni)
🌙꿈번지 : DA-2528-5743-8067
🌟‍인스타그램 : aonioni_

---

[BGM 출처]
🎵Music provided by 브금대통령
🎵Track : Simple Hawaii - https://youtu.be/3_lPJ1COT38
🎵Track : 아기 고양이 - https://youtu.be/1rL7sardFIU
🎵Track : 오리가족의 외출 - https://youtu.be/g84nkO4afvM",25210495926624
cqxNfQb-3L8,동숲 곤충 다 잡기 도전합니다! (개 잘함),917007,416,9500,2023-06-17T10:00:34Z,https://i.ytimg.com/vi/cqxNfQb-3L8/hqdefault.jpg,"나는야 금잠자리채 보유자 음하하

#아오니 #동물의숲 #모동숲 

🏝섬 이름 : 아보카도🥑 / 마라도
👩주민대표 : 아오니
🌙꿈번지 : DA-2528-5743-8067 / DA-6351-3927-7264
🌙해피홈 : RA-1157-2190-7226
🌟‍인스타그램 : aonioni_
🌟‍팬카페 : https://cafe.naver.com/aonioni

[BGM 출처]
🎵Music provided by 브금대통령
🎵Track : 귀여운 BGM 모음 2 - https://youtu.be/Gkh-wz-cHyg 
🎵Track : 도둑의 계획 - https://youtu.be/CKuI-6-Izhc
🎵Track : 나는야 장난꾸러기 - https://youtu.be/MYLjqNApdTE
🎵Track : 이게 머선129 - https://youtu.be/gOtwGaQUbzM
🎵Track : 인생의 회전초밥 - https://youtu.be/0H-nSaK53iI
🎵Track : Brunch II - https://youtu.be/XlhBXAMHUz8
🎵Track : 오리가족의 외출 - https://youtu.be/g84nkO4afvM
🎵Track : 에어컨 아래에서 - https://youtu.be/f8nd8Fq90lU
🎵Track : Van Life - https://youtu.be/Mo76TCkFoJQ
🎵Track : 간식 - https://youtu.be/jWFZR8vPaTY
🎵Track : 뚱이는 못말려 - https://youtu.be/650XS7TLVvY

Song : ODT SOUND - with my puppy
Follow Artist : https://www.youtube.com/user/jjumini 
Music promoted by DayDreamSound : https://youtu.be/Mk8SP4eixq4",4169500917007
bLUf7viMxpI,[모동숲] 놀동숲 해본 사람? #Shorts,915413,339,19455,2022-05-05T16:13:56Z,https://i.ytimg.com/vi/bLUf7viMxpI/hqdefault.jpg,,33919455915413
U4by5Xcu2v0,(대참사) 채석장 돌을 깨먹었어요,866824,408,9998,2023-02-04T10:00:15Z,https://i.ytimg.com/vi/U4by5Xcu2v0/hqdefault.jpg,"전 진짜 괜찮아요 휘용님

#동물의숲 #모동숲 #acnh 

🌟‍인스타그램 : aonioni_
🌟‍팬카페 : https://cafe.naver.com/aonioni

[BGM 출처]
🎵Music provided by 브금대통령
🎵Track : 도둑의 계획 - https://youtu.be/CKuI-6-Izhc
🎵Track : 3월의 불멍 - https://youtu.be/E5Veny7_QkQ
🎵Track : 오리가족의 외출 - https://youtu.be/g84nkO4afvM
🎵Track : 웃기고있네 - https://youtu.be/aY7VLF71pNM
🎵Track : 뚱이는 못말려 - https://youtu.be/650XS7TLVvY
🎵Track : 여름밤의꿈(브금어게인Ver) - https://youtu.be/EAdvb1YYKF0
🎵Track : 간식 - https://youtu.be/jWFZR8vPaTY",4089998866824
vkEuW6OWmwQ,최고로 어렵다는 주민 액자 받으려다가 환장할 뻔한 이야기,845597,418,12145,2023-07-29T10:00:42Z,https://i.ytimg.com/vi/vkEuW6OWmwQ/hqdefault.jpg,"우리 섬 용남이는 고집불통

🏝섬 이름 : 아보카도🥑 / 마라도
👩주민대표 : 아오니
🌙꿈번지 : DA-2528-5743-8067 / DA-6351-3927-7264
🌙해피홈 : RA-1157-2190-7226
🌟‍인스타그램 : aonioni_
🌟‍팬카페 : https://cafe.naver.com/aonioni
🌟‍문의 : aoni_37@naver.com

#아오니 #동물의숲 #모동숲

[BGM 출처]
🎵Music provided by 브금대통령 
🎵Track : 귀여운 BGM 모음 2 - https://youtu.be/Gkh-wz-cHyg
🎵Track : 웃기고있네 - https://youtu.be/aY7VLF71pNM
🎵Track : 도둑의 계획 - https://youtu.be/CKuI-6-Izhc
🎵Track : 안졸리나 졸리다 - https://youtu.be/NNKNQMeWhm4
🎵Track : 인생의 회전초밥 - https://youtu.be/0H-nSaK53iI
🎵Track : Chicken Run - https://youtu.be/Jxn_5jtrulA
🎵Track : Van Life - https://youtu.be/Mo76TCkFoJQ
🎵Track : 집순이 - https://youtu.be/uiTv6WCOrAU
🎵Track : 사랑의 연 - https://youtu.be/v1eemRhj7ww
🎵Track : 간식 - https://youtu.be/jWFZR8vPaTY

🎵Music : 'Bread Lover'  by @dalkomsounds
🎵Link :   https://www.youtube.com/watch?v=rF00ZO28Mig

Prod. 브금공방
Light steps -   https://www.youtube.com/watch?v=5WJsJEpsVOs

출처및저작권표시 - 공유마당, CC BY
링크 - https://gongu.copyright.or.kr/gongu/wrt/wrt/view.do?wrtSn=13243505&menuNo=200026",41812145845597
YetuM4WIT6I,[3분가이드] #모동숲 초심자를 위한 1일차~7일차 완전 정복!/모여봐요 동물의 숲,830604,963,8482,2020-04-08T01:15:02Z,https://i.ytimg.com/vi/YetuM4WIT6I/hqdefault.jpg,"안녕하세요! 
이번 영상은 모동숲을 처음 시작하시는 분들을위한 1일차~7일차 #가이드 영상입니다. 
물량이 슬슬 풀려서 이제 막 시작하시는 분들이 계실 것 같은데요. 그동안 이래저래 정보로만 듣다가 플레이해보니 헷갈리시는 분들은 꼭 시청부탁드려요:)
좀 더 쉽게 이해하실 수 있도록 목소리를 함께 넣었는데 생각보다 어렵네요. 조금 어설프지만 즐겁게 시청해주세요ㅎㅎ
질문은 댓글로 남겨주세요. 
오늘도 방문해주셔서 감사합니다. 좋은 하루 되세요.

p.s. 내용이 조금 길어졌지만.. 구독자 수가 어느덧 120명이 되었어요, 구독해주신 분들 이렇게 행복을 주셔서 감사드립니다! 더 좋은 영상으로 찾아뵐게요ㅎㅎ",9638482830604
dsp7V35eGlo,제 평생 위시가 마라도에 이사왔습니다,822285,631,8489,2023-07-08T10:00:33Z,https://i.ytimg.com/vi/dsp7V35eGlo/hqdefault.jpg,"행운의 여신 아오니

#아오니 #동물의숲 #모동숲 

🏝섬 이름 : 아보카도🥑 / 마라도
👩주민대표 : 아오니
🌙꿈번지 : DA-2528-5743-8067 / DA-6351-3927-7264
🌙해피홈 : RA-1157-2190-7226
🌟‍인스타그램 : aonioni_
🌟‍팬카페 : https://cafe.naver.com/aonioni

[BGM 출처]
🎵Music provided by 브금대통령
🎵Track : 웃기고있네 - https://youtu.be/aY7VLF71pNM
🎵Track : 도둑의 계획 - https://youtu.be/CKuI-6-Izhc
🎵Track : 나는야 장난꾸러기 - https://youtu.be/MYLjqNApdTE
🎵Track : 와 이거 뭔데 - https://youtu.be/7zswBFefpLU
🎵Track : Chicken Run - https://youtu.be/Jxn_5jtrulA
🎵Track : 집순이 - https://youtu.be/uiTv6WCOrAU

Song : ODT SOUND - with my puppy
Follow Artist : https://www.youtube.com/user/jjumini 
Music promoted by DayDreamSound : https://youtu.be/Mk8SP4eixq4",6318489822285
9K5cGVqhAmo,"불행 서사 다 때려박은 주민, 내가 크리스를 챙겨주는 이유...😢 [모동숲]",795192,533,11887,2022-03-01T10:35:49Z,https://i.ytimg.com/vi/9K5cGVqhAmo/hqdefault.jpg,"#동물의숲 #모동숲 #모여봐요동물의숲
🖤풀버전 보러 ㄱrブl 📅 211216 https://youtu.be/GWLwzfr7Z4I
🤍スΙ컨 생방송 ㉰㉦ㅣ 보㉠ㅣhttps://bit.ly/2kyCIWu
🖤팬 ㅋΓ페로 놀ㄹ┥ 와...。http://cafe.daum.net/zkern
🤍멤버십 フト입ㅎΗ丕 https://www.youtube.com/channel/UC0z8bddfRBRBmEC-AjI6UXw/join
🖤しΗ 사생활Ｏ| 궁금㉭ㅐ...? https://www.instagram.com/zkern_official/

🤍편집: 찐빵찰스",53311887795192
8M0K0hhg54k,혼자 살고 싶어 하는 주민들 (모동숲),788518,162,20559,2022-07-01T00:00:02Z,https://i.ytimg.com/vi/8M0K0hhg54k/hqdefault.jpg,,16220559788518
b4fRwityGsM,주민들 부끄럽게 만드는 법 📷 (모동숲),768519,99,23041,2023-01-08T17:15:21Z,https://i.ytimg.com/vi/b4fRwityGsM/hqdefault.jpg,#모동숲 #shorts #모동숲TMI,9923041768519
9LM8NZgPC90,그렇게 영롱하다는 스피카 실물 영접하ㄱ,759730,348,6363,2021-12-06T10:15:00Z,https://i.ytimg.com/vi/9LM8NZgPC90/hqdefault.jpg,"영롱하다 영롱해.

#동물의숲 #모동숲 #모여봐요동물의숲 #ACNH

🏝섬 이름 : 아보카도🥑 (Abcado)
👩주민대표 : 아오니 (Aoni)
🌙꿈번지 : DA-2528-5743-8067
🌟‍인스타그램 : aonioni_

----

[타임라인]
00:00 스피카 만나기 전
03:33 스피카와의 만남
04:41 스피카 만난 후

---

[BGM 출처]
🎵Music provided by 브금대통령 
🎵Track : 귀여운 BGM 모음 2 - https://youtu.be/Gkh-wz-cHyg

[음성 출처]
본 음성은 인공지능 성우 서비스 타입캐스트에서 제작되었습니다.
인공지능 성우 애니, 카밀라, 호빈이",3486363759730
y3BpD7hiLIk,모동숲 비주얼 담당 사슴 주민들의 비밀,758302,124,21852,2022-04-27T00:00:27Z,https://i.ytimg.com/vi/y3BpD7hiLIk/hqdefault.jpg,#SHORTS,12421852758302
jnTZpsToJIw,모동숲 주민이랑 셀카 찍는 법,756206,73,17634,2022-08-13T00:00:12Z,https://i.ytimg.com/vi/jnTZpsToJIw/hqdefault.jpg,,7317634756206
apguKut1CAw,모여봐요 동물의 숲 접겠습니다.........,752323,383,8921,2022-07-30T11:12:54Z,https://i.ytimg.com/vi/apguKut1CAw/hqdefault.jpg,"#모여봐요동물의숲 #모동숲 #동물의숲
🖤풀버전 보러 ㄱrブl 📅 220714 https://youtu.be/Yzq-aeHfufU
🤍スΙ컨 생방송 ㉰㉦ㅣ 보㉠ㅣhttps://bit.ly/2kyCIWu
🖤팬 ㅋΓ페로 놀ㄹ┥ 와...。http://cafe.daum.net/zkern
🤍멤버십 フト입ㅎΗ丕 https://www.youtube.com/channel/UC0z8bddfRBRBmEC-AjI6UXw/join
🖤しΗ 사생활Ｏ| 궁금㉭ㅐ...? https://www.instagram.com/zkern_official/

🤍편집: 찐빵찰스",3838921752323
eQtDJ0AeLoI,모동숲 애플 뽀야미가 인기 주민인 이유 🐹,743821,242,26771,2022-04-02T00:00:16Z,https://i.ytimg.com/vi/eQtDJ0AeLoI/hqdefault.jpg,"#shorts #샐리의모동숲 #모동숲tmi

🎵Music provided by 브금대통령
🎵Track : 귀여운 BGM 모음 - https://youtu.be/hgNrf9QqAA0",24226771743821
